MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_POSITION,0.0000000,-122.3974515,37.7924804,0.1390000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,194.4190000,0.0539072,-0.1385660,-0.1393835
MsgID.LOCAL_VELOCITY,194.4190000,0.0000052,0.0000114,0.0000138
MsgID.GLOBAL_POSITION,0.0000000,-122.3974519,37.7924796,0.1730000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,194.6700000,-0.0422977,-0.1766293,-0.1735017
MsgID.LOCAL_VELOCITY,194.6700000,0.0000041,0.0000058,0.0000117
MsgID.GLOBAL_POSITION,0.0000000,-122.3974515,37.7924789,0.2030000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,194.9200000,-0.1118219,-0.1352019,-0.2035654
MsgID.LOCAL_VELOCITY,194.9200000,0.0000135,-0.0000298,0.0000118
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974508,37.7924803,0.2250000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,195.1690000,0.0417176,-0.0724754,-0.2251180
MsgID.LOCAL_VELOCITY,195.1690000,0.0000270,0.0000195,0.0000147
MsgID.GLOBAL_POSITION,0.0000000,-122.3974486,37.7924804,0.2370000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,195.4200000,0.0464014,0.1241481,-0.2373584
MsgID.LOCAL_VELOCITY,195.4200000,-0.0000075,-0.0000144,0.0000146
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924802,0.2420000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,195.6700000,0.0302443,-0.0126183,-0.2426578
MsgID.LOCAL_VELOCITY,195.6700000,-0.0000006,-0.0000030,0.0000179
MsgID.GLOBAL_POSITION,0.0000000,-122.3974488,37.7924803,0.2440000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,195.9210000,0.0438172,0.1065876,-0.2440188
MsgID.LOCAL_VELOCITY,195.9210000,0.0000063,0.0000044,0.0000198
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974497,37.7924815,0.2430000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,196.1700000,0.1727795,0.0260910,-0.2435226
MsgID.LOCAL_VELOCITY,196.1700000,0.0000034,0.0000033,0.0000130
MsgID.LOCAL_POSITION,196.4210000,0.0994693,-0.0837141,-0.2420982
MsgID.LOCAL_VELOCITY,196.4210000,0.0000084,-0.0000036,0.0000162
MsgID.GLOBAL_POSITION,0.0000000,-122.3974509,37.7924808,0.2420000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,196.6720000,0.0453380,-0.0169007,-0.2396056
MsgID.LOCAL_VELOCITY,196.6720000,0.0000217,-0.0000237,0.0000145
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924804,0.2390000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,196.9220000,0.0942952,-0.0905659,-0.2350023
MsgID.LOCAL_VELOCITY,196.9220000,0.0000030,-0.0000094,0.0000149
MsgID.GLOBAL_POSITION,0.0000000,-122.3974510,37.7924808,0.2350000
